Name;Copy anchors;Glyph 1;Glyph 2;Glyph 3;Glyph 4
mu;1;uni03BC;;;
IJ;0;I;J;;
ij;0;i;j;;
kgreenlandic;1;kappa;;;
uni01A9;1;Sigma;;;
uni01C3;1;exclam;;;
uni01C4;0;D;Zcaron;;
uni01C5;0;D;zcaron;;
uni01C6;0;d;zcaron;;
uni01C7;0;L;J;;
uni01C8;0;L;j;;
uni01C9;0;l;j;;
uni01CA;0;N;J;;
uni01CB;0;N;j;;
uni01CC;0;n;j;;
uni01F1;0;D;Z;;
uni01F2;0;D;z;;
uni01F3;0;d;z;;
uni0269;1;iota;;;
uni029C;1;uni043D;;;
uni037F;1;J;;;
Alpha;1;A;;;
Beta;1;B;;;
Epsilon;1;E;;;
Zeta;1;Z;;;
Eta;1;H;;;
Iota;1;I;;;
Kappa;1;K;;;
Mu;1;M;;;
Nu;1;N;;;
Omicron;1;O;;;
Rho;1;P;;;
Tau;1;T;;;
Upsilon;1;Y;;;
Chi;1;X;;;
omicron;1;o;;;
uni0405;1;S;;;
uni0406;1;I;;;
uni0408;0;J;;;
uni0410;1;A;;;
uni0412;1;B;;;
uni0413;1;Gamma;;;
uni0415;1;E;;;
uni041A;1;K;;;
uni041C;1;M;;;
uni041D;1;H;;;
uni041E;1;O;;;
uni041F;1;Pi;;;
uni0420;1;P;;;
uni0421;1;C;;;
uni0422;1;T;;;
uni0425;1;X;;;
uni0430;1;a;;;
uni0435;1;e;;;
uni043A;1;Kappa;;;
uni043E;1;o;;;
uni0440;1;p;;;
uni0441;1;c;;;
uni0443;1;y;;;
uni0445;1;x;;;
uni0455;1;s;;;
uni0470;1;Psi;;;
uni0471;1;psi;;;
uni04AE;1;Y;;;
uni04C0;1;I;;;
uni04E0;1;uni01B7;;;
uni04E1;1;uni0292;;;
uni051A;1;Q;;;
uni051B;1;q;;;
uni051C;1;W;;;
uni051D;1;w;;;
uni1E9F;1;delta
onedotenleader;0;period;;;
twodotenleader;0;period;period;;
ellipsis;0;period;period;period;
exclamdbl;0;exclam;exclam;;
uni2047;0;question;question;;
uni2048;0;question;exclam;;
uni0249;0;exclam;question;;
uni2103;0;degree;C;;
uni2107;1;uni0190;;;
Omega;1;uni03A9;;;
uni212A;1;K;;;
uni212B;1;Aring;;;
uni216C;1;L;;;
uni216D;1;C;;;
uni216E;1;D;;;
uni216F;1;M;;;
uni2170;0;i;;;
uni2171;0;i;i;;
uni2172;0;i;i;i;
uni2173;0;i;v;;
uni2174;0;v;;;
uni2175;0;v;i;;
uni2176;0;v;i;i;
uni2177;0;v;i;i;i
uni2178;0;i;x;;
uni2179;0;x;;;
uni217A;0;x;i;;
uni217B;0;x;i;i;
uni217C;0;l;;;
uni217D;0;c;;;
uni217E;0;d;;;
uni217F;0;m;;;
emptyset;0;Oslash;;;
Delta;0;uni0394;;;
product;0;Pi;;;
summation;0;Sigma;;;
uni2215;0;slash;;;
uni2216;0;backslash;;;
ij.sc;0;i.sc;j.sc;;
kgreenlandic.sc;1;k.sc;;;
uni01C5.sc;0;D;zcaron.sc;;
uni01C6.sc;0;d.sc;zcaron.sc;;
uni01C8.sc;0;L;j.sc;;
uni01C9.sc;0;l.sc;j.sc;;
uni01CB.sc;0;N;j.sc;;
uni01CC.sc;0;n.sc;j.sc;;
uni01F2.sc;0;D;z.sc;;
uni01F3.sc;0;d.sc;z.sc;;
uni0269.sc;1;iota.sc;;;
alpha.sc;1;a.sc;;;
beta.sc;1;b.sc;;;
epsilon.sc;1;e.sc;;;
zeta.sc;1;z.sc;;;
eta.sc;1;h.sc;;;
iota.sc;1;i.sc;;;
kappa.sc;1;k.sc;;;
uni03BC.sc;1;m.sc;;;
nu.sc;1;n.sc;;;
omicron.sc;1;o.sc;;;
rho.sc;1;p.sc;;;
tau.sc;1;t.sc;;;
upsilon.sc;1;y.sc;;;
chi.sc;1;x.sc;;;
uni0458.sc;1;j.sc;;;
uni0430.sc;1;a.sc;;;
uni0432.sc;1;b.sc;;;
uni0433.sc;1;gamma.sc;;;
uni0435.sc;1;e.sc;;;
uni043A.sc;1;kappa.sc;;;
uni043C.sc;1;m.sc;;;
uni043D.sc;1;h.sc;;;
uni043E.sc;1;o.sc;;;
uni043F.sc;1;pi.sc;;;
uni0440.sc;1;p.sc;;;
uni0441.sc;1;c.sc;;;
uni0442.sc;1;t.sc;;;
uni0445.sc;1;x.sc;;;
uni0455.sc;1;s.sc;;;
uni0456.sc;1;i.sc;;;
uni0471.sc;1;psi.sc;;;
uni04AF.sc;1;y.sc;;;
uni1E9F.sc;1;delta.sc;;;
uni2171.sc;0;i.sc;i.sc;;
uni2172.sc;0;i.sc;i.sc;i.sc;
uni2173.sc;0;i.sc;v.sc;;
uni2174.sc;0;v.sc;;;
uni2175.sc;0;v.sc;i.sc;;
uni2176.sc;0;v.sc;i.sc;i.sc;
uni2177.sc;0;v.sc;i.sc;i.sc;i.sc
uni2178.sc;0;i.sc;x.sc;;
uni2179.sc;0;x.sc;;;
uni217A.sc;0;x.sc;i.sc;;
uni217B.sc;0;x.sc;i.sc;i.sc;
uni217C.sc;0;l.sc;;;
uni217D.sc;0;c.sc;;;
uni217E.sc;0;d.sc;;;
uni217F.sc;0;m.sc;;;
Iota.cv22;1;I.cv22;;;
uni0406.cv22;1;I.cv22;;;
uni04C0.cv22;1;I.cv22;;;
iota.sc.cv22;1;i.sc.cv22;;;
uni0456.sc.cv22;1;i.sc.cv22;;;
f.ss08;1;f;;;
i.ss08;1;i;;;
j.ss08;1;j;;;
l.ss08;1;l;;;
t.ss08;1;t;;;
